,age,weight_kg,preferred_foot,international_reputation,work_rate_encoded,Midfiled,Attack,Defence,Mentality
52,28,70,0,3,5,80.0,75.4,29.928571428571427,76.14285714285714
53,32,80,0,3,5,44.46666666666667,15.6,67.5,36.57142857142857
54,28,59,0,3,8,80.2,76.6,22.0,62.0
55,23,75,1,2,8,81.0,80.2,20.928571428571427,64.0
56,25,75,0,3,6,67.86666666666666,59.6,32.642857142857146,73.14285714285714
57,24,80,0,1,6,60.53333333333333,55.4,32.92857142857143,69.71428571428571
58,26,60,0,3,6,74.2,68.8,33.07142857142857,81.14285714285714
59,25,75,1,3,6,73.2,67.2,34.0,72.57142857142857
60,29,90,0,3,5,42.333333333333336,17.2,65.85714285714286,31.428571428571427
61,24,73,0,3,7,79.0,77.0,31.5,76.71428571428571
62,27,79,0,3,4,77.13333333333334,72.6,27.571428571428573,72.14285714285714
63,27,76,0,3,9,79.93333333333334,80.4,26.571428571428573,74.85714285714286
64,31,78,0,4,5,74.66666666666667,78.2,32.714285714285715,78.0
65,29,72,0,3,5,78.4,71.8,31.428571428571427,78.14285714285714
66,31,69,1,4,8,81.86666666666666,74.6,27.5,69.0
67,32,85,0,3,3,69.0,62.2,32.92857142857143,75.71428571428571
68,27,68,0,3,8,82.06666666666666,73.2,26.142857142857142,68.57142857142857
69,30,74,0,2,5,72.4,77.6,30.714285714285715,77.57142857142857
70,29,75,0,4,9,75.8,82.4,26.642857142857142,69.14285714285714
71,29,85,0,3,8,74.33333333333333,76.4,22.857142857142858,66.57142857142857
72,28,73,0,3,9,80.06666666666666,78.4,21.857142857142858,68.28571428571429
73,19,89,0,3,6,69.6,60.6,29.857142857142858,68.42857142857143
74,20,90,0,3,5,42.6,15.6,66.28571428571429,33.142857142857146
75,22,74,0,3,6,78.73333333333333,72.8,29.142857142857142,74.14285714285714
76,26,81,0,3,6,66.46666666666667,55.2,33.142857142857146,68.0
77,23,97,0,2,5,57.333333333333336,50.6,32.642857142857146,60.285714285714285
78,24,76,0,2,8,77.93333333333334,77.8,29.642857142857142,75.42857142857143
79,23,82,0,2,6,73.26666666666667,69.2,30.785714285714285,75.71428571428571
80,24,77,1,3,9,76.73333333333333,78.2,30.5,75.28571428571429
81,25,78,0,3,6,73.53333333333333,69.2,32.285714285714285,82.85714285714286
82,25,64,1,1,9,73.53333333333333,64.0,31.714285714285715,75.71428571428571
83,24,80,0,2,6,61.46666666666667,52.8,32.57142857142857,60.857142857142854
84,24,81,1,2,6,66.8,58.8,31.857142857142858,72.57142857142857
85,24,69,0,2,9,82.4,78.6,28.142857142857142,78.71428571428571
